PLAYER,TEAM,Wins,ERA
Zack Greinke,LAD,86.4,1.66
Jake Arrieta,CHC,78.6,1.77
Clayton Kershaw,LAD,69.6,2.13
Jacob deGrom,NYM,63.6,2.54
Gerrit Cole,PIT,70.4,2.6
Matt Harvey,NYM,61.9,2.71
John Lackey,STL,56.5,2.77
Max Scherzer,WSH,53.8,2.79
Madison Bumgarner,SF,66.7,2.93
Carlos Martinez,STL,66.7,3.01
Shelby Miller,ATL,26.1,3.02
Lance Lynn,STL,52.2,3.03
A.J. Burnett,PIT,56.3,3.18
Tyson Ross,SD,45.5,3.26
Jon Lester,CHC,47.8,3.34
Francisco Liriano,PIT,63.2,3.38
Michael Wacha,STL,70.8,3.38
Dan Haren,CHC/MIA,55,3.6
Jordan Zimmermann,WSH,56.5,3.66
Brett Anderson,LAD,52.6,3.69
Mike Leake,CIN/SF,52.4,3.7
Jason Hammel,CHC,58.8,3.74
Gio Gonzalez,WSH,57.9,3.79
Alex Wood,ATL/LAD,50,3.84
James Shields,SD,65,3.91
Kyle Hendricks,CHC,53.3,3.95
Chris Heston,SF,52.2,3.95
Julio Teheran,ATL,57.9,4.04
Anthony DeSclafani,CIN,40.9,4.05
Tom Koehler,MIA,44,4.08
Jimmy Nelson,MIL,45.8,4.11
Jonathon Niese,NYM,47.4,4.13
Bartolo Colon,NYM,51.9,4.16
Ian Kennedy,SD,37.5,4.28
Andrew Cashner,SD,27.3,4.34
Jeff Locke,PIT,42.1,4.49
Rubby De La Rosa,ARI,60.9,4.67
Aaron Harang,PHI,28.6,4.86
